Sector,Operating_Profit,Quarter
Technology,250000,Q1
Healthcare,180000,Q1
Transportation,220000,Q1
Finance,300000,Q1
Retail,150000,Q1
Energy,275000,Q1
Manufacturing,200000,Q1
Construction,125000,Q1
Agriculture,90000,Q1
Utilities,130000,Q1
Technology,260000,Q2
Healthcare,185000,Q2
Transportation,225000,Q2
Finance,310000,Q2
Retail,155000,Q2
Energy,285000,Q2
Manufacturing,205000,Q2
Construction,130000,Q2
Agriculture,95000,Q2
Utilities,135000,Q2
Technology,270000,Q3
Healthcare,190000,Q3
Transportation,230000,Q3
Finance,320000,Q3
Retail,160000,Q3
Energy,290000,Q3
Manufacturing,210000,Q3
Construction,135000,Q3
Agriculture,100000,Q3
Utilities,140000,Q3
Technology,280000,Q4
Healthcare,195000,Q4
Transportation,235000,Q4
Finance,330000,Q4
Retail,165000,Q4
Energy,295000,Q4
Manufacturing,215000,Q4
Construction,140000,Q4
Agriculture,105000,Q4
Utilities,145000,Q4
